epoch,train_loss,val_loss,val_psnr,val_ssim
1,0.006474,0.005888,22.4842,0.9296
2,0.003712,0.003031,25.7142,0.9469
3,0.003422,0.004534,23.6359,0.9393
4,0.003270,0.003174,25.2988,0.9477
5,0.003001,0.002445,26.5434,0.9561
6,0.003019,0.003119,25.3453,0.9519
7,0.002943,0.002524,26.4600,0.9547
8,0.002938,0.002755,26.0763,0.9511
9,0.002856,0.002772,25.9154,0.9536
10,0.002815,0.002457,26.5286,0.9558
11,0.002727,0.002530,26.4981,0.9569
12,0.002464,0.002375,26.6566,0.9578
13,0.002463,0.002325,26.9725,0.9570
14,0.002421,0.002144,27.1881,0.9583
15,0.002451,0.002312,26.7431,0.9582
16,0.002437,0.002366,26.7304,0.9568
17,0.002429,0.002193,27.2472,0.9596
18,0.002378,0.002260,27.0502,0.9565
19,0.002395,0.002248,26.9441,0.9576
20,0.002378,0.002307,26.7495,0.9573
21,0.002285,0.002475,26.5702,0.9559
22,0.002193,0.002169,27.0482,0.9601
23,0.002193,0.002382,26.6877,0.9600
24,0.002200,0.002081,27.3059,0.9599
25,0.002209,0.002322,26.9164,0.9553
26,0.002210,0.002305,26.8021,0.9584
27,0.002211,0.002175,27.1657,0.9577
28,0.002175,0.002126,27.1926,0.9572
29,0.002189,0.002322,26.8515,0.9595
30,0.002138,0.002053,27.3721,0.9598
31,0.002215,0.002189,26.9048,0.9580
32,0.002179,0.002115,27.4221,0.9601
33,0.002151,0.002106,27.2132,0.9577
34,0.002197,0.002092,27.2006,0.9571
35,0.002108,0.002330,26.7691,0.9561
36,0.002188,0.002126,27.2217,0.9590
37,0.002050,0.002022,27.4873,0.9602
38,0.002074,0.002042,27.5442,0.9600
39,0.002056,0.001978,27.5581,0.9607
40,0.001995,0.001941,27.6525,0.9601
41,0.002036,0.001901,27.7624,0.9628
42,0.002043,0.001948,27.5927,0.9593
43,0.002022,0.002135,27.2010,0.9580
44,0.001995,0.001976,27.6468,0.9599
45,0.002019,0.002026,27.5119,0.9596
46,0.002025,0.002133,27.0974,0.9561
47,0.002021,0.001853,27.7905,0.9610
48,0.001978,0.001946,27.6942,0.9611
49,0.002034,0.001975,27.5865,0.9603
50,0.002021,0.001949,27.7107,0.9597
51,0.002039,0.001926,27.7555,0.9606
52,0.001948,0.002021,27.5114,0.9593
53,0.002011,0.002076,27.3247,0.9591
54,0.001932,0.001875,27.8672,0.9632
55,0.001973,0.001882,27.8767,0.9615
56,0.001932,0.002097,27.2258,0.9593
57,0.001922,0.002032,27.5193,0.9606
