epoch,train_loss,val_loss,val_psnr,val_ssim
1,0.168702,0.045622,14.0606,0.6458
2,0.028551,0.035928,14.5544,0.6503
3,0.026412,0.030033,15.2578,0.6625
4,0.024906,0.025857,15.9185,0.6718
5,0.024907,0.023903,16.2506,0.6745
6,0.024155,0.024245,16.1968,0.6734
7,0.024165,0.023914,16.2762,0.6762
8,0.023643,0.024500,16.1651,0.6703
9,0.023509,0.023227,16.3887,0.6769
10,0.023488,0.023629,16.3116,0.6736
11,0.023201,0.023380,16.3599,0.6821
12,0.022939,0.023760,16.2825,0.6790
13,0.022767,0.022875,16.4499,0.6846
14,0.022846,0.022548,16.5201,0.6767
15,0.022623,0.022567,16.5301,0.6831
16,0.022725,0.022946,16.4600,0.6814
17,0.022909,0.023276,16.3836,0.6785
18,0.022647,0.023186,16.3953,0.6806
19,0.022497,0.021827,16.6658,0.6836
20,0.022584,0.022044,16.6169,0.6816
21,0.022712,0.022545,16.5191,0.6800
22,0.022365,0.022151,16.5971,0.6772
23,0.022336,0.022096,16.6151,0.6850
24,0.022349,0.022667,16.5001,0.6786
25,0.022332,0.022463,16.5445,0.6791
26,0.022199,0.021918,16.6608,0.6809
27,0.022176,0.022094,16.6039,0.6824
28,0.021948,0.021665,16.6977,0.6783
29,0.022042,0.021987,16.6559,0.6804
30,0.022185,0.021756,16.6748,0.6823
31,0.022111,0.021573,16.7146,0.6817
32,0.021989,0.022255,16.5749,0.6762
33,0.022159,0.022022,16.6133,0.6797
34,0.022007,0.022035,16.6196,0.6774
35,0.022042,0.022809,16.4688,0.6753
36,0.021956,0.021866,16.6550,0.6773
37,0.022051,0.022090,16.6151,0.6754
38,0.021815,0.022183,16.5795,0.6761
39,0.021964,0.021578,16.7298,0.6836
40,0.021769,0.021568,16.7123,0.6820
41,0.021948,0.021777,16.6805,0.6805
42,0.021888,0.021628,16.7081,0.6793
43,0.021987,0.022515,16.5180,0.6772
44,0.021774,0.021752,16.6875,0.6795
45,0.021816,0.022089,16.6104,0.6801
46,0.021886,0.021157,16.7946,0.6835
47,0.021818,0.021867,16.6510,0.6793
48,0.021944,0.021800,16.6722,0.6819
49,0.021773,0.021355,16.7616,0.6855
50,0.021838,0.021422,16.7594,0.6825
51,0.022019,0.021072,16.8332,0.6850
52,0.021703,0.021973,16.6361,0.6778
53,0.021777,0.022172,16.5918,0.6806
54,0.021877,0.021775,16.6768,0.6779
55,0.021732,0.021921,16.6574,0.6788
56,0.021801,0.021812,16.6703,0.6768
57,0.021910,0.022192,16.5853,0.6777
58,0.021846,0.021502,16.7162,0.6789
59,0.021640,0.021752,16.6798,0.6795
60,0.021671,0.021969,16.6280,0.6777
61,0.021834,0.021665,16.6969,0.6778
