epoch,train_loss,val_loss,val_psnr,val_ssim
1,30738.425231,0.337746,4.7964,0.0463
2,6357975529.338486,225268.711937,-53.4534,0.0000
3,81004.210249,10163.501292,-39.9658,0.0000
4,4751.256924,1215.992256,-30.7512,0.0000
5,3973681659690.691406,773038422.400000,-88.8617,0.0000
6,196440910.097000,41620616.976000,-76.1744,0.0000
7,23433114.812750,14978644.304000,-71.7311,0.0000
8,7037060.731375,3874924.284000,-65.8584,0.0000
9,3927937.025422,1668630.653750,-62.1854,0.0000
10,985321823168.272217,666098540.544000,-88.2051,0.0000
11,225740831.660500,44455917.684000,-76.4247,0.0000
