epoch,train_loss,val_loss,val_psnr,val_ssim
1,0.020056,0.009334,20.8185,0.9264
2,0.007428,0.006315,22.3562,0.9384
3,0.006394,0.005048,23.4148,0.9431
4,0.005882,0.005850,22.8610,0.9453
5,0.005842,0.006036,22.5123,0.9338
6,0.005700,0.005411,23.0336,0.9472
7,0.005781,0.004768,23.6656,0.9456
8,0.005408,0.005536,22.8956,0.9363
9,0.005472,0.005134,23.2153,0.9477
10,0.005293,0.005511,22.8839,0.9470
11,0.005239,0.004901,23.4413,0.9462
12,0.005134,0.004977,23.3185,0.9442
13,0.004972,0.005614,22.8431,0.9424
14,0.004639,0.004321,23.9944,0.9486
15,0.004521,0.004535,23.7100,0.9464
16,0.004559,0.004448,23.9308,0.9486
17,0.004480,0.004361,23.9055,0.9500
18,0.004494,0.004322,24.0109,0.9441
19,0.004459,0.004395,23.9243,0.9443
20,0.004503,0.004273,23.9807,0.9472
21,0.004436,0.004253,24.1177,0.9491
22,0.004455,0.004575,23.6992,0.9389
23,0.004397,0.004234,24.0942,0.9464
24,0.004271,0.004301,23.9681,0.9422
25,0.004473,0.004555,23.6452,0.9398
26,0.004436,0.004223,24.0396,0.9452
27,0.004301,0.004410,23.8267,0.9447
28,0.004387,0.004205,24.0924,0.9463
29,0.004311,0.004199,24.0238,0.9469
30,0.004317,0.004420,23.8214,0.9425
31,0.004263,0.004020,24.2879,0.9480
32,0.004279,0.004130,24.1707,0.9438
33,0.004295,0.004249,24.0260,0.9422
34,0.004280,0.004345,23.9261,0.9491
35,0.004272,0.004329,23.9049,0.9451
36,0.004237,0.003852,24.4683,0.9496
37,0.004323,0.004135,24.1418,0.9450
38,0.004288,0.003976,24.2676,0.9489
39,0.004239,0.004115,24.1578,0.9495
40,0.004248,0.004121,24.1916,0.9466
41,0.004195,0.004561,23.7655,0.9410
42,0.004197,0.003861,24.4998,0.9483
43,0.004088,0.003978,24.3957,0.9465
44,0.004071,0.004077,24.2211,0.9426
45,0.003988,0.004112,24.1404,0.9466
46,0.004097,0.004120,24.1533,0.9465
