epoch,train_loss,val_loss,val_psnr,val_ssim
1,0.113148,0.028049,32.9227,0.9690
2,0.050973,0.030527,30.7971,0.9666
3,0.041199,0.036148,33.8414,0.9565
4,0.035801,0.019417,32.4247,0.9807
5,0.069536,0.031255,29.4406,0.9646
6,0.042927,0.021748,30.5681,0.9781
7,0.030475,0.027168,36.1532,0.9672
8,0.028511,0.018276,31.3200,0.9818
9,0.025534,0.012589,25.3083,0.9882
10,0.022419,0.027719,31.6448,0.9671
11,0.021440,0.024175,32.4045,0.9734
12,0.019398,0.032076,32.3387,0.9617
13,0.022862,0.041606,30.8338,0.9509
14,0.022836,0.019444,29.4380,0.9816
15,0.027622,0.022534,33.7224,0.9758
16,0.015746,0.036037,32.9588,0.9583
17,0.015033,0.020126,38.5162,0.9759
18,0.014647,0.031708,32.3981,0.9638
19,0.014087,0.033034,34.3915,0.9609
